generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
0,1,full,86844.000000,69844.000000,0.000000,3173.000000,4096.000000,1.000000,1.000000,0.000000,437768.74061,770.056682793,899.086003579,59.1941825557,26.0524613471
0,2,fast,31300.000000,26300.000000,0.000000,1347.000000,2048.000000,1.000000,0.000000,0.000000,200000,270,700,47,11
1,1,full,32156.000000,27156.000000,0.000000,1410.000000,2048.000000,1.000000,0.000000,0.000000,437768.74061,770.056682793,899.086003579,59.1941825557,26.0524613471
1,2,fast,30480.000000,25480.000000,0.000000,1306.000000,2048.000000,1.000000,0.000000,0.000000,437768.74061,770.056682793,899.086003579,59.1941825557,26.0524613471
